Date,Note,Ticker Symbol,Security Name,Shares,Fees,Value,Type
20211229,NRA Withholding,BNDX,VANGUARD TOTAL INTERNATIONAL BND ETF,,,-0.14,Taxes
20211229,Short Term Cap Gain,BNDX,VANGUARD TOTAL INTERNATIONAL BND ETF,,,0.48,Dividend
20211229,Long Term Cap Gain,BNDX,VANGUARD TOTAL INTERNATIONAL BND ETF,,,29.21,Dividend
20210304,NRA Tax Adj,BNDX,VANGUARD TOTAL INTERNATIONAL BND ETF,,,-1.10,Taxes
20210304,Cash Dividend,BNDX,VANGUARD TOTAL INTERNATIONAL BND ETF,,,3.65,Dividend
20210225,NRA Tax Adj SCHWAB1 INT 01/28-02/24,,,,,-0.02,Taxes
20210225,Credit Interest SCHWAB1 INT 01/28-02/24,,,,,0.09,Interest
20210209,Buy,BNDX,VANGUARD TOTAL INTERNATIONAL BND ETF,81.0,,-4697.99,Buy
20210202,Wire Received,,,,,5000.00,Deposit
